Symbol,Price Level,Note,Foreground Color,Background Color,Diameter,Text Alignment,Draw Note Price Horizontal Line
MNQZ6.CME@BMD,30927.44,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30917.98,CONFLUENCE QQQ/SPY d=4 QQQ DP +114.7M 745,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30914.24,QQQ GEX MAX +2k 745 QQQ CWALL 745,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30888.02,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30886.7,SPY C-CYC +926 771,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30885.38,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30885.19,CONFLUENCE QQQ/SPY d=29 QQQ DP +87.6M 744,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30872.74,QQQ C-CYC +674 744,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30843.32,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30840.64,SPY GEX #2 +2k 770,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30837.95,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30831.25,QQQ C-CYC +429 743,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30827.1,QQQ FLIP 743,#FFE08A,#FFC857,1,left,TRUE
MNQZ6.CME@BMD,30814.72,,#FFE08A,#FFC857,1,left,TRUE
MNQZ6.CME@BMD,30809.31,SPY FLIP 769,#FFE08A,#FFC857,1,left,TRUE
MNQZ6.CME@BMD,30807.99,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30803.9,,#FFE08A,#FFC857,1,left,TRUE
MNQZ6.CME@BMD,30801.94,CONFLUENCE QQQ/SPY d=7 SPY DP +398.8M 769,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30801.26,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30795.89,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30794.57,SPY C-CYC +526 769,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30789.75,QQQ C-CYC +396 742,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30787.88,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30758.36,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30747.58,CONFLUENCE QQQ/SPY d=62 SPY DP +184.1M 768,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30743.63,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30736.8,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30731.46,CONFLUENCE QQQ/SPY d=78 SPY DP +132.7M 768,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30719.28,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30672.74,CONFLUENCE QQQ/SPY d=137 QQQ DP +130.5M 739,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30633.01,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30610.3,SPY PRO-CYC -462 765,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30587.59,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30464.77,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30457.62,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30426.03,SPY PRO-CYC -603 761,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30422.71,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30418.2,SPY PWALL 761,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30387.3,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30385.28,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30379.97,SPY PRO-CYC -590 760,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30378.79,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30338.97,CONFLUENCE QQQ/SPY d=470 SPY DP +220.2M 759,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30337.23,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30292.66,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,30291.81,QQQ PWALL 730 QQQ PRO-CYC -948 730,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30212.41,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30149.63,SPY PRO-CYC -420 755,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30086.86,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,30002.1,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,29919.3,SPY PRO-CYC -597 750,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,29836.5,,#FF7A87,#FF5A6C,1,left,TRUE
MNQZ6.CME@BMD,29731.2,CONFLUENCE QQQ/SPY d=1078 QQQ DP +167.1M 716,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,29697.59,CONFLUENCE QQQ/SPY d=1112 QQQ DP +283.6M 716,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,29046.94,QQQ PRO-CYC -389 700,#FF7A87,#FF5A6C,1,left,TRUE
