Symbol,Price Level,Note,Foreground Color,Background Color,Diameter,Text Alignment,Draw Note Price Horizontal Line
MNQZ6.CME@BMD,32340.13,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,32222.64,SPY C-CYC +565 800,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,32159.11,QQQ C-CYC +418 775,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,32105.15,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31839.4,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31761.97,SPY C-CYC +403 790,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31684.54,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31589.04,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31536.67,QQQ GEX #2 +966 760,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31531.64,SPY C-CYC +2k 785,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31474.23,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31338.68,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31329.2,QQQ C-CYC +483 755,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31301.3,SPY C-CYC +847 780,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31263.93,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31121.72,QQQ C-CYC +891 750,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31088.31,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31070.97,SPY C-CYC +1k 775,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31053.62,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31049.76,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,31038.24,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31035.5,CONFLUENCE QQQ/SPY d=103 SPY DP +391.8M 774,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,31024.9,SPY C-CYC +518 774,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,31021.24,,#F5A1FF,#EE7CFF,1,left,TRUE
MNQZ6.CME@BMD,31011.56,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30988.17,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30978.84,SPY C-CYC +508 773,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30969.5,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30955.74,QQQ C-CYC +886 746,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30938.1,,#7BF09A,#52D273,1,left,TRUE
MNQZ6.CME@BMD,30932.77,SPY GEX MAX +2k 772 SPY CWALL 772,#7BF09A,#52D273,1,left,TRUE
